,loan,overdraft,primary_sector,company_reg_number,loan_id,loan_start_date,loan_original_amount,loan_status,loan_repayment_frequency,loan_date_due_to_close,loan_amount_outstanding_including_future_interest,interest,loan_number_of_missed_payments,loan_default_date,loan_satisfaction_date,early_repayment_allowed,fixed_interest,total_time_payments_late
0,0,1,47 : Retail,20000000,20000000_Overdraft_1,2020/3/28,41000,Repaid,Monthly,2021/3/28,0,N/A,0,N/A,2021/3/28 0:00,0,0,0
1,0,1,77-82 : Business administration & support services,20000017,20000017_Overdraft_1,2021/1/23,37400,Defaulted,Monthly,2024/1/23,0,N/A,0,2021/2/5 0:00,N/A,N/A,0,0
2,0,1,49-53 : Transport & Storage (inc. postal),20000031,20000031_Overdraft_1,2021/1/23,26300,Repaid,Monthly,2022/1/23,0,N/A,2,N/A,2021/2/14 0:00,1,0,27
3,0,1,46 : Wholesale,20000034,20000034_Overdraft_1,2019/12/24,169850,Repaid,Monthly,2020/12/24,0,N/A,0,N/A,2020/1/11 0:00,1,0,0
4,0,1,46 : Wholesale,20000034,20000034_Overdraft_2,2020/7/2,201000,Available,Monthly,2024/7/2,169006,7,0,N/A,N/A,1,0,0
5,1,0,"01-03 : Agriculture, forestry & fishing",20000056,20000056_Loan_1,2020/10/30,27200,Repaid,Monthly,2021/10/30,0,N/A,0,N/A,2021/5/30 0:00,1,0,0
6,1,0,58-63 : Information & communication,20000068,20000068_Loan_1,2020/10/9,17900,Disbursing,Monthly,2022/10/9,8723,8,3,N/A,N/A,1,0,29
7,0,1,"69-75 : Professional, scientific & technical",20000082,20000082_Overdraft_1,2021/11/14,4150,Repaid,Weekly,2022/11/14,0,N/A,0,N/A,2022/11/14 0:00,1,0,0
8,0,1,"69-75 : Professional, scientific & technical",20000087,20000087_Overdraft_1,2021/5/30,16250,Repaid,Monthly,2022/5/30,0,N/A,0,N/A,2021/6/18 0:00,1,0,0
9,0,1,58-63 : Information & communication,20000100,20000100_Overdraft_1,2021/10/13,136900,Repaid,Monthly,2022/10/13,0,N/A,0,N/A,2022/10/13 0:00,0,1,0
10,0,1,"69-75 : Professional, scientific & technical",20000123,20000123_Overdraft_1,2019/12/10,147500,Repaid,Monthly,2020/12/10,0,N/A,0,N/A,2020/3/1 0:00,1,0,0
11,0,1,47 : Retail,20000141,20000141_Overdraft_1,2020/11/5,19550,Repaid,Monthly,2021/11/5,0,N/A,0,N/A,2021/2/19 0:00,1,0,0
12,0,1,85 : Education,20000150,20000150_Overdraft_1,2020/9/17,70750,Defaulted,Weekly,2021/9/17,0,N/A,0,2021/5/4 0:00,N/A,N/A,0,0
13,0,1,85 : Education,20000150,20000150_Overdraft_2,2021/6/14,88300,Available,Monthly,2023/6/14,91566,17,0,N/A,N/A,1,0,0
14,0,1,"90-99 : Arts, entertainment, recreation & other",20000165,20000165_Overdraft_1,2021/5/3,19050,Repaid,Monthly,2022/5/3,0,N/A,0,N/A,2022/5/3 0:00,1,0,0
15,0,1,58-63 : Information & communication,20000176,20000176_Overdraft_1,2020/11/11,6650,Repaid,Monthly,2021/11/11,0,N/A,0,N/A,2021/11/11 0:00,1,0,0
16,0,1,"90-99 : Arts, entertainment, recreation & other",20000183,20000183_Overdraft_1,2020/1/24,25750,Repaid,Monthly,2021/1/24,0,N/A,0,N/A,2020/4/22 0:00,1,1,0
17,0,1,"69-75 : Professional, scientific & technical",20000195,20000195_Overdraft_1,2021/8/28,19950,Repaid,Monthly,2022/8/28,0,N/A,0,N/A,2021/9/11 0:00,1,0,0
18,0,1,49-53 : Transport & Storage (inc. postal),20000205,20000205_Overdraft_1,2020/6/26,43300,Repaid,Monthly,2021/6/26,0,N/A,0,N/A,2021/4/2 0:00,1,0,0
19,1,0,41-43 : Construction,20000219,20000219_Loan_1,2021/4/12,33000,Repaid,Monthly,2022/4/12,0,N/A,0,N/A,2021/4/27 0:00,1,0,0
20,0,1,47 : Retail,20000221,20000221_Overdraft_1,2021/8/20,76050,Repaid,Monthly,2022/8/20,0,N/A,0,N/A,2021/10/14 0:00,1,0,0
21,1,0,"69-75 : Professional, scientific & technical",20000230,20000230_Loan_1,2021/4/10,31200,Repaid,Monthly,2022/4/10,0,N/A,0,N/A,2022/4/10 0:00,0,0,0
22,0,1,86-88 : Health,20000282,20000282_Overdraft_1,2020/11/16,128150,Repaid,Weekly,2021/11/16,0,N/A,0,N/A,2021/11/16 0:00,1,0,0
23,0,1,41-43 : Construction,20000295,20000295_Overdraft_1,2020/9/26,72900,Available,Monthly,2023/9/26,63112,13,0,N/A,N/A,1,0,0
24,0,1,55-56 : Accommodation & food services,20000300,20000300_Overdraft_1,2021/5/19,172800,Defaulted,Monthly,2023/5/19,0,N/A,0,2021/6/20 0:00,N/A,N/A,0,0
25,0,1,"69-75 : Professional, scientific & technical",20000311,20000311_Overdraft_1,2021/10/5,22150,Repaid,Monthly,2022/10/5,0,N/A,0,N/A,2022/10/5 0:00,1,1,0
26,0,1,86-88 : Health,20000313,20000313_Overdraft_1,2020/8/14,151600,Repaid,Weekly,2021/8/14,0,N/A,0,N/A,2020/10/24 0:00,1,0,0
27,1,0,"69-75 : Professional, scientific & technical",20000314,20000314_Loan_1,2021/9/11,34700,Repaid,Monthly,2022/9/11,0,N/A,0,N/A,2021/9/15 0:00,1,0,0
28,0,1,64-66 : Finance & insurance,20000315,20000315_Overdraft_1,2021/4/13,0,Repaid,Monthly,2022/4/13,0,N/A,2,N/A,2021/6/26 0:00,1,0,23
29,0,1,58-63 : Information & communication,20000324,20000324_Overdraft_1,2021/10/8,78250,Repaid,Monthly,2022/10/8,0,N/A,0,N/A,2021/11/1 0:00,1,0,0
30,0,1,85 : Education,20000327,20000327_Overdraft_1,2020/10/18,108000,Repaid,Monthly,2021/10/18,0,N/A,0,N/A,2020/11/19 0:00,1,0,0
31,1,0,41-43 : Construction,20000334,20000334_Loan_1,2020/8/6,99450,Repaid,Monthly,2021/8/6,0,N/A,0,N/A,2020/8/9 0:00,1,1,0
