Unnamed: 0,loan,overdraft,primary_sector,company_reg_number,loan_id,loan_start_date,loan_original_amount,loan_status,loan_repayment_frequency,loan_date_due_to_close,loan_amount_outstanding_including_future_interest,interest,loan_number_of_missed_payments,loan_default_date,loan_satisfaction_date,early_repayment_allowed,fixed_interest,total_time_payments_late,loan_key,loan_status_str,event_hard_default,obs_end_date,credit_report_date,missed_and_late_payments_last_five_years,business_failure_score,credit_report_credit_score,credit_report_negative_items,payment_index,ratio_debt_to_revenue,credit_report_total_indebtedness,credit_report_good_standing_items,behavior_distress_flag,origination_credit_distress_flag,event_distress,event_augmented,obs_duration_days,event_date_augmented,event_type_augmented,duration_augmented_days,industry_group,is_overdraft,is_term_loan
0,0,1,47 : Retail,20000000,20000000_Overdraft_1,2020/3/28,41000,Repaid,Monthly,2021/3/28,0,,0,,2021/3/28,0,0,0,20000000_Overdraft_1,repaid,0,2021/3/28,2021/11/23,0,63,765,1,2,0.013963917,7548,4,0,0,0,0,366,,censored,366,47 : Retail,1,0
1,0,1,77-82 : Business administration & support services,20000017,20000017_Overdraft_1,2021/1/23,37400,Defaulted,Monthly,2024/1/23,0,,0,2021/2/5,,,0,0,20000017_Overdraft_1,defaulted,1,2024/1/23,2021/6/17,7,52,755,8,33,0,0,4,0,0,0,1,1096,2021/2/5,hard_default,14,77-82 : Business administration & support services,1,0
2,0,1,49-53 : Transport & Storage (inc. postal),20000031,20000031_Overdraft_1,2021/1/23,26300,Repaid,Monthly,2022/1/23,0,,2,,2021/2/14,1,0,27,20000031_Overdraft_1,repaid,0,2021/2/14,2021/6/26,4,50,691,7,43,0.130716863,24923,2,1,0,1,1,23,2021/2/13,distress_behavior,22,49-53 : Transport & Storage (inc. postal),1,0
3,0,1,46 : Wholesale,20000034,20000034_Overdraft_1,2019/12/24,169850,Repaid,Monthly,2020/12/24,0,,0,,2020/1/11,1,0,0,20000034_Overdraft_1,repaid,0,2020/1/11,2020/12/11,8,48,0,11,46,0.244278657,334342,1,0,0,0,0,19,,censored,19,46 : Wholesale,1,0
4,0,1,46 : Wholesale,20000034,20000034_Overdraft_2,2020/7/2,201000,Available,Monthly,2024/7/2,169006,7,0,,,1,0,0,20000034_Overdraft_2,available,0,2024/2/29,2020/12/11,8,48,0,11,46,0.244278657,334342,1,0,0,0,0,1338,,censored,1338,46 : Wholesale,1,0
5,1,0,"01-03 : Agriculture, forestry & fishing",20000056,20000056_Loan_1,2020/10/30,27200,Repaid,Monthly,2021/10/30,0,,0,,2021/5/30,1,0,0,20000056_Loan_1,repaid,0,2021/5/30,2021/7/22,0,44,665,1,21,0,0,2,0,0,0,0,213,,censored,213,"01-03 : Agriculture, forestry & fishing",0,1
6,1,0,58-63 : Information & communication,20000068,20000068_Loan_1,2020/10/9,17900,Disbursing,Monthly,2022/10/9,8723,8,3,,,1,0,29,20000068_Loan_1,disbursing,0,2022/10/9,2021/5/3,11,29,808,13,55,0.193794517,38581,1,1,0,1,1,731,2021/12/21,distress_behavior,439,58-63 : Information & communication,0,1
7,0,1,"69-75 : Professional, scientific & technical",20000082,20000082_Overdraft_1,2021/11/14,4150,Repaid,Weekly,2022/11/14,0,,0,,2022/11/14,1,0,0,20000082_Overdraft_1,repaid,0,2022/11/14,2021/5/3,5,44,637,7,42,0.174456506,30775,0,0,1,1,1,366,2021/12/13,distress_origination,30,"69-75 : Professional, scientific & technical",1,0
8,0,1,"69-75 : Professional, scientific & technical",20000087,20000087_Overdraft_1,2021/5/30,16250,Repaid,Monthly,2022/5/30,0,,0,,2021/6/18,1,0,0,20000087_Overdraft_1,repaid,0,2021/6/18,2021/6/13,0,17,515,5,19,0.051461355,5983,2,0,0,0,0,20,,censored,20,"69-75 : Professional, scientific & technical",1,0
9,0,1,58-63 : Information & communication,20000100,20000100_Overdraft_1,2021/10/13,136900,Repaid,Monthly,2022/10/13,0,,0,,2022/10/13,0,1,0,20000100_Overdraft_1,repaid,0,2022/10/13,2020/12/31,0,89,763,1,15,0.166866349,191227,5,0,1,1,1,366,2021/11/11,distress_origination,30,58-63 : Information & communication,1,0
