company_reg_number,primary_sector,women_owned,number_of_officers,2019_revenue,capex,cogs,costs,accounts_receivable,capital_and_reserves,current_assets,current_liabilities,fixed_assets,long_term_liabilities,provisions_for_liabilities,credit_report_date,missed_and_late_payments_last_five_years,business_failure_score,credit_report_credit_score,credit_report_negative_items,payment_index,ratio_debt_to_revenue,credit_report_total_indebtedness,credit_report_good_standing_items,factor_amount,factor_percent,ca_total_accounts,ca_avg_rev_ratio,ca_avg_cost_ratio,ca_total_payin,ca_total_payout,industry_group,liquidity_ratio,leverage_ratio,profit_margin_proxy,receivable_turnover_proxy,log_factor_amount,log_ca_total_payin,log_ca_total_payout,aux_risk_label
20000000,47 : Retail,1,1,540536.0,158.79,5691.53,531828.0317,13328.0,13502.0,94341.0,71429.0,4094.0,13504.0,12857.0,2021-11-23,0.0,63.0,765.0,1.0,2.0,0.0139639172969052,7548.0,4.0,0.0,0.0,1,0.5040601736066209,0.4959398263933791,438374.69600000005,431312.5337276888,47 : Retail,1.320747585048299,6.289935569873362,0.016109846874496934,40.553379848450746,0.0,12.990831575122998,12.97459056106245,0
20000001,41-43 : Construction,0,2,231292.0,215.5,6471.54,220525.8335,9506.0,23927.0,52241.0,25061.0,4728.0,7981.0,4009.0,2021-01-29,0.0,59.0,676.0,1.0,21.0,0.1214914480397073,28100.0,1.0,0.0,0.0,1,0.5119142778989944,0.4880857221010056,181101.636,172671.7276640881,41-43 : Construction,2.084470513127444,1.3808926780341022,0.046547740312071664,24.32859997896287,0.0,12.106819199259776,12.059153334259108,0
20000002,05-39 : Production,0,1,203270.0,100.89,3385.61,197711.6193,6123.0,47029.0,40721.0,31488.0,106244.0,68448.0,5038.0,2021-04-13,0.0,53.0,663.0,1.0,16.0,0.0768977222413538,15631.0,4.0,0.0,0.0,1,0.5069309668854545,0.4930690331145456,169933.71999999997,165286.9137759556,05-39 : Production,1.293181746006542,2.124941526685095,0.02734468123834688,33.19235793598955,0.0,12.04316964228552,12.015444164233074,0
20000003,49-53 : Transport & Storage (inc. postal),0,1,118794.0,253.34,3885.55,110593.1715,2929.0,21938.0,65519.0,46121.0,10131.0,7590.0,7840.0,2021-09-25,0.0,93.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1,0.5178755169525175,0.4821244830474825,106795.806,99423.26113885414,49-53 : Transport & Storage (inc. postal),1.4205585187112442,2.4481972742604494,0.069033448377457,40.54402730375427,0.0,11.578683298693987,11.507151438706606,1
20000004,41-43 : Construction,1,1,391341.0,129.17,4731.59,383104.9832,16083.0,38807.0,84212.0,40289.0,8186.0,13302.0,7252.0,2021-08-13,0.0,81.0,773.0,0.0,17.0,0.1931953973644468,75605.28,4.0,0.0,0.0,1,0.5053173604212827,0.4946826395787173,186669.657,182741.0769680031,41-43 : Construction,2.090146438322164,1.3809266130694702,0.02104557343704479,24.331074359612035,0.0,12.137101150600456,12.11583102218794,0
20000005,"69-75 : Professional, scientific & technical",0,2,122613.0,100.95,2968.99,116200.505,5711.0,9631.0,40037.0,33098.0,12326.0,9633.0,5626.0,2021-08-11,3.0,7.0,486.0,8.0,27.0,0.0580851948814562,7122.0,5.0,0.0,0.0,1,0.5134257378131506,0.4865742621868494,70379.862,66699.08986511495,"69-75 : Professional, scientific & technical",1.2096135834919484,4.436357973421927,0.05229822858727384,21.465861344537814,0.0,11.161676658598243,11.107961579205881,1
20000006,"69-75 : Professional, scientific & technical",0,3,146849.0,0.01,59682.72,141562.436,6838.0,11278.0,44358.0,37460.0,15660.0,11280.0,8615.0,2021-07-10,0.0,0.0,546.0,7.0,11.0,0.0421657621093776,6192.0,2.0,0.0,0.0,1,0.5091649694501018,0.4908350305498981,101472.659,97819.64327599996,"69-75 : Professional, scientific & technical",1.1841114759349725,4.32130508023761,0.03599975485188977,21.472291270653603,0.0,11.527554526542174,11.490890910191128,1
20000007,41-43 : Construction,1,2,371300.0,142.5,4142.38,364689.1105,15259.0,-6628.0,89947.0,114341.0,11139.0,-6626.0,16007.0,2021-05-18,0.0,51.0,448.0,0.0,12.0,0.455785079450579,169233.0,6.0,0.0,0.0,1,0.5044911598537971,0.4955088401462028,288871.4,283728.1279753082,41-43 : Construction,0.7866488254534642,-16.253961068356723,0.017804663871091083,24.331585845347313,0.0,12.573740347103465,12.55577528727597,1
20000008,58-63 : Information & communication,1,1,221924.0,205.97,3135.06,216266.0676,7296.0,19186.0,56371.0,43137.0,7583.0,1631.0,9490.0,2021-10-15,1.0,77.0,732.0,4.0,24.0,0.1436257457507975,31874.0,4.0,0.0,0.0,1,0.5064560253388132,0.4935439746611869,125165.13599999998,121974.06214907124,58-63 : Information & communication,1.306759701423339,2.3332464689633605,0.025494795088430732,30.413046457448267,0.0,11.737397221828804,11.711571894206935,0
20000009,64-66 : Finance & insurance,1,4,,,,,,,,,,,,2021-11-10,0.0,79.0,824.0,3.0,17.0,0.0359666666666666,1079.0,0.0,,,3,,,0.0,0.0,64-66 : Finance & insurance,,,,,,0.0,0.0,0
20000010,"69-75 : Professional, scientific & technical",1,1,181853.0,0.02,86224.71,167850.319,8470.0,25560.0,50393.0,37571.0,16869.0,4131.0,9017.0,2021-01-08,0.0,73.0,654.0,0.0,8.0,0.3206820893798837,58317.0,4.0,0.0,0.0,1,0.5200208008320333,0.4799791991679667,124205.59900000002,114641.767877,"69-75 : Professional, scientific & technical",1.341238156073672,1.6314698172997926,0.07699957658341312,21.46771337504427,0.0,11.729701579115147,11.649576206287701,0
