covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
log_loan_amount,-0.02230614480986364,0.9779407977183807,0.07984991288769576,-0.17880909823840804,0.13419680861868075,0.8362655287223828,1.143617871351422,0.0,-0.2793508972418784,0.7799755499161378,0.3584991947170957
loan_number_of_missed_payments,0.012897117397560118,1.0129806439136444,0.07956176028599415,-0.14304106730959762,0.16883530210471784,0.8667184743686874,1.18392513288831,0.0,0.16210196143473832,0.8712255616250455,0.19888181175920355
loan_age_days,-0.0016502168447724258,0.9983511440143711,0.08124267507810798,-0.1608829340055539,0.15758250031600904,0.8513917342934906,1.1706773352479138,0.0,-0.020312192369169053,0.9837943296900874,0.02357135508487937
is_overdraft,-0.013347878682129654,0.9867408092135727,0.07910955025668039,-0.16839974801838462,0.14170399065412528,0.8450159736985386,1.1522355255674854,0.0,-0.168726514546232,0.866011762188068,0.2075414750910702
is_term_loan,0.013347878682129655,1.0134373592970123,0.07910955025668039,-0.14170399065412528,0.16839974801838462,0.8678781185014165,1.1834095817421226,0.0,0.168726514546232,0.866011762188068,0.2075414750910702
women_owned,0.0010576424357363744,1.0010582019367307,0.07983056961530026,-0.1554073988755697,0.15752268374704242,0.856066345964895,1.1706073114406654,0.0,0.013248589366618619,0.9894294643252868,0.015331232582010246
number_of_officers,-0.0074483345685316,0.9925793355340439,0.08024366772091224,-0.16472303328891888,0.14982636415185566,0.8481285749426861,1.1616325241674375,0.0,-0.09282146217988109,0.9260454002645742,0.1108451701589125
liquidity_ratio,-0.004048643088839105,0.9959595416172144,0.08107962058042531,-0.16296177930664527,0.15486449312896708,0.849623660999438,1.1674997461482282,0.0,-0.04993416421853052,0.9601748521424794,0.058630943898605486
leverage_ratio,-0.01612963341444414,0.9839997525392236,0.07867928956305364,-0.17033820728722746,0.13807894045833916,0.8433795312529437,1.1480661755672334,0.0,-0.20500481771022905,0.8375683609792173,0.25572114918083794
profit_margin_proxy,0.004828909375377764,1.0048405873479793,0.079873115342929,-0.15171952002977668,0.16137733878053223,0.8592292435395674,1.1751283066465315,0.0,0.06045725591953209,0.9517914583783298,0.0712825874477084
working_capital,-0.02328734627321317,0.9769817113819959,0.08014424667219883,-0.18036718331881693,0.1337924907723906,0.8349635704231102,1.1431555796993786,0.0,-0.290567910238918,0.7713818055183231,0.37448297717846735
receivable_turnover_proxy,-2.7241177084843855e-05,0.9999727591939527,0.08124433461548639,-0.15926321097135895,0.1592087286171893,0.8527718705141298,1.17258267269898,0.0,-0.00033529940535264447,0.9997324697862356,0.0003860161504800774
factor_percent,0.00581551145793321,1.0058324543726735,0.08008652385158006,-0.15115119093817173,0.16278221385403815,0.8597177073059653,1.1767803753160369,0.0,0.07261535622036458,0.9421122064849913,0.08602919842610626
log_factor_amount,0.010021393204933933,1.0100717755255222,0.08042006692867772,-0.14759904160957507,0.1676418280194429,0.862776983268515,1.182512991767837,0.0,0.12461309207590716,0.9008298632147191,0.15067344020717902
uk_interest_rate_diff,0.0034992702488633037,1.0035053998426169,0.08080854541534545,-0.15488256840828307,0.1618811089060097,0.8565157535863662,1.1757204503206462,0.0,0.043303220357172725,0.9654598241583869,0.05071186957308616
uk_cpi_diff,0.01983325608594943,1.0200312418440125,0.08054510353211516,-0.1380322459680462,0.17769875813994507,0.8710706027780996,1.1944654440403504,0.0,0.24623788680141753,0.805498088823156,0.3120469289829871
uk_gdp_yoy,0.006854722764650773,1.0068782701495913,0.07966416432967614,-0.14928417017999493,0.16299361570929646,0.8613243174322167,1.1770291751680588,0.0,0.08604524785176566,0.9314304479956566,0.10248005097868951
credit_report_total_indebtedness,-0.002955051672355787,0.9970493101952648,0.08114244699674818,-0.1619913254034325,0.1560812220587209,0.8504485818065841,1.168921141415862,0.0,-0.03641807440776604,0.9709490024452719,0.0425325725193587
payment_index,0.00927820570453769,1.009321381683649,0.0808617729285643,-0.14920795696150427,0.16776436837057965,0.8613899642321579,1.1826579062038236,0.0,0.11474155671474498,0.9086499739419615,0.1382034419518693
credit_report_negative_items,0.0053068111613183405,1.0053209172253699,0.08113997586407022,-0.15372461923870853,0.16433824156134522,0.8575081297416463,1.178612903548049,0.0,0.06540316415928664,0.9478530048412307,0.07726475478262801
