industry_group,threshold,threshold_source,sample_size,event_rate,expected_utility,approval_rate_at_threshold,default_rate_if_approved
41-43 : Construction,1.1804579112399138,global_fallback,6,0.0,23.0,0.7619047619047619,0.10416666666666667
47 : Retail,1.1804579112399138,global_fallback,5,0.2,23.0,0.7619047619047619,0.10416666666666667
46 : Wholesale,1.1804579112399138,global_fallback,3,0.0,23.0,0.7619047619047619,0.10416666666666667
49-53 : Transport & Storage (inc. postal),1.1804579112399138,global_fallback,5,0.4,23.0,0.7619047619047619,0.10416666666666667
55-56 : Accommodation & food services,1.1804579112399138,global_fallback,2,0.5,23.0,0.7619047619047619,0.10416666666666667
86-88 : Health,1.1804579112399138,global_fallback,3,0.0,23.0,0.7619047619047619,0.10416666666666667
64-66 : Finance & insurance,1.1804579112399138,global_fallback,1,1.0,23.0,0.7619047619047619,0.10416666666666667
85 : Education,1.1804579112399138,global_fallback,3,0.3333333333333333,23.0,0.7619047619047619,0.10416666666666667
77-82 : Business administration & support services,1.1804579112399138,global_fallback,4,0.5,23.0,0.7619047619047619,0.10416666666666667
"90-99 : Arts, entertainment, recreation & other",1.1780516390590647,industry,9,0.2222222222222222,6.0,0.6666666666666666,0.0
"01-03 : Agriculture, forestry & fishing",1.0910778670705208,industry,7,0.14285714285714285,5.0,0.7142857142857143,0.0
"69-75 : Professional, scientific & technical",1.0640099759170147,industry,8,0.375,4.0,0.5,0.0
58-63 : Information & communication,0.9210449496795395,industry,7,0.42857142857142855,4.0,0.5714285714285714,0.0
