industry_group,n_loans,observed_default_rate,avg_risk_score,approval_rate,approved_default_rate
45 : Motor trades,1,1.0,1.2314059547826524,0.0,
64-66 : Finance & insurance,1,1.0,4.021639862641914,0.0,
58-63 : Information & communication,11,0.5454545454545454,1.0872509828662198,0.45454545454545453,0.2
49-53 : Transport & Storage (inc. postal),6,0.5,1.130402412770283,0.5,0.0
55-56 : Accommodation & food services,4,0.5,1.0458748985368609,0.75,0.3333333333333333
77-82 : Business administration & support services,4,0.5,1.0135712162407464,1.0,0.5
"69-75 : Professional, scientific & technical",16,0.3125,1.1925614387059602,0.375,0.0
47 : Retail,7,0.2857142857142857,0.9871985264127504,0.8571428571428571,0.16666666666666666
85 : Education,4,0.25,1.1422467823554228,0.75,0.3333333333333333
86-88 : Health,4,0.25,1.1967258543749022,0.75,0.0
"01-03 : Agriculture, forestry & fishing",9,0.2222222222222222,1.1872526588237249,0.6666666666666666,0.0
"90-99 : Arts, entertainment, recreation & other",9,0.2222222222222222,1.1644511206288217,0.6666666666666666,0.0
41-43 : Construction,8,0.125,0.9936816654287989,0.875,0.0
46 : Wholesale,6,0.0,1.2355340862439415,0.5,0.0
