industry_group,warning_threshold,warning_threshold_source,sample_size,positive_rate,f1_at_threshold
"01-03 : Agriculture, forestry & fishing",0.1464069541437487,industry,78,0.038461538461538464,0.23529411764705882
41-43 : Construction,0.16612130818402587,global_fallback,101,0.0,0.35789473684210527
46 : Wholesale,0.16612130818402587,global_fallback,44,0.0,0.35789473684210527
47 : Retail,0.16612130818402587,global_fallback,25,0.12,0.35789473684210527
49-53 : Transport & Storage (inc. postal),0.11002195241829844,industry,58,0.06896551724137931,0.4444444444444444
55-56 : Accommodation & food services,0.16612130818402587,global_fallback,25,0.04,0.35789473684210527
58-63 : Information & communication,0.17791741304257966,industry,64,0.09375,0.6
64-66 : Finance & insurance,0.16612130818402587,global_fallback,1,1.0,0.35789473684210527
"69-75 : Professional, scientific & technical",0.1783862799611339,industry,42,0.16666666666666666,0.7692307692307693
77-82 : Business administration & support services,0.16284268640490707,industry,52,0.07692307692307693,0.5
85 : Education,0.16612130818402587,global_fallback,12,0.25,0.35789473684210527
86-88 : Health,0.16612130818402587,global_fallback,20,0.0,0.35789473684210527
"90-99 : Arts, entertainment, recreation & other",0.14775899629687372,industry,67,0.05970149253731343,0.42105263157894735
