metric,before_original,after_augmented,delta_after_minus_before,improved
train_events,9.0,17.0,8.0,True
test_events,3.0,12.0,9.0,True
train_epv_proxy,0.2903225806451613,0.5483870967741935,0.2580645161290322,True
train_c_index,0.7120253164556962,0.8119533527696793,0.09992803631398306,True
test_c_index,0.654320987654321,0.6884057971014492,0.03408480944712822,True
warning_precision,0.05555555555555555,0.34782608695652173,0.29227053140096615,True
warning_recall,0.5,0.6666666666666666,0.16666666666666663,True
warning_f1,0.1,0.45714285714285713,0.3571428571428571,True
warning_avg_precision,0.2329710144927536,0.5510659604409605,0.31809494594820686,True
warning_roc_auc,0.8835714285714285,0.9066666666666666,0.02309523809523817,True
