covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
log_loan_amount,-0.022306144809863565,0.9779407977183808,0.07984991288769562,-0.17880909823840768,0.13419680861868055,0.8362655287223831,1.1436178713514218,0.0,-0.27935089724187795,0.779975549916138,0.3584991947170953
loan_number_of_missed_payments,0.012897117397559868,1.0129806439136442,0.07956176028599338,-0.14304106730959634,0.16883530210471606,0.8667184743686885,1.183925132888308,0.0,0.16210196143473676,0.8712255616250466,0.19888181175920172
loan_age_days,-0.0016502168447724273,0.9983511440143711,0.08124267507810799,-0.16088293400555392,0.15758250031600907,0.8513917342934905,1.1706773352479138,0.0,-0.02031219236916907,0.9837943296900874,0.02357135508487937
is_overdraft,-0.01334787868212965,0.9867408092135727,0.07910955025668034,-0.1683997480183845,0.14170399065412523,0.8450159736985388,1.1522355255674854,0.0,-0.16872651454623203,0.866011762188068,0.2075414750910702
is_term_loan,0.01334787868212965,1.0134373592970123,0.07910955025668033,-0.1417039906541252,0.16839974801838448,0.8678781185014166,1.1834095817421224,0.0,0.16872651454623205,0.8660117621880679,0.2075414750910704
women_owned,0.0010576424357363853,1.0010582019367307,0.07983056961530066,-0.15540739887557048,0.15752268374704326,0.8560663459648943,1.1706073114406663,0.0,0.013248589366618688,0.9894294643252867,0.015331232582010407
number_of_officers,-0.007448334568531537,0.992579335534044,0.08024366772091188,-0.16472303328891807,0.14982636415185502,0.8481285749426868,1.1616325241674366,0.0,-0.09282146217988071,0.9260454002645745,0.11084517015891197
liquidity_ratio,-0.004048643088839104,0.9959595416172144,0.08107962058042528,-0.1629617793066452,0.15486449312896702,0.849623660999438,1.167499746148228,0.0,-0.04993416421853053,0.9601748521424794,0.058630943898605486
leverage_ratio,-0.016129633414444105,0.9839997525392236,0.07867928956305358,-0.17033820728722726,0.13807894045833907,0.8433795312529438,1.1480661755672332,0.0,-0.2050048177102288,0.8375683609792174,0.25572114918083777
profit_margin_proxy,0.004828909375377734,1.0048405873479793,0.07987311534292875,-0.15171952002977623,0.16137733878053168,0.8592292435395679,1.175128306646531,0.0,0.06045725591953191,0.9517914583783299,0.07128258744770823
