industry_group,warning_threshold,warning_threshold_source,sample_size,positive_rate,f1_at_threshold
"01-03 : Agriculture, forestry & fishing",0.10866434578094009,global_fallback,80,0.0,0.28205128205128205
41-43 : Construction,0.10866434578094009,global_fallback,77,0.0,0.28205128205128205
46 : Wholesale,0.10866434578094009,global_fallback,44,0.0,0.28205128205128205
47 : Retail,0.10866434578094009,global_fallback,25,0.12,0.28205128205128205
49-53 : Transport & Storage (inc. postal),0.06026379827634505,industry,58,0.05172413793103448,0.2222222222222222
55-56 : Accommodation & food services,0.10866434578094009,global_fallback,24,0.0,0.28205128205128205
58-63 : Information & communication,0.11647701388493222,industry,77,0.025974025974025976,0.3333333333333333
"69-75 : Professional, scientific & technical",0.10866434578094009,global_fallback,28,0.17857142857142858,0.28205128205128205
77-82 : Business administration & support services,0.09696271133509085,industry,52,0.07692307692307693,0.6
85 : Education,0.10866434578094009,global_fallback,12,0.25,0.28205128205128205
86-88 : Health,0.10866434578094009,global_fallback,20,0.0,0.28205128205128205
"90-99 : Arts, entertainment, recreation & other",0.10830860128219504,industry,54,0.037037037037037035,0.2857142857142857
